,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
5108,Youth,Italy,2698509.0,Comedy,2015,Michael Caine,124,7.3,R,Certified Fresh,72,209,Upright,69.0,41,150,59
3485,The Astronaut Farmer,USA,10996440.0,Adventure,2006,Billy Bob Thornton,104,6.3,PG,Rotten,58,136,Spilled,49.0,35,79,57
1042,Dragon: The Bruce Lee Story,USA,35112679.0,Action,1993,Jason Scott Lee,120,7.0,PG-13,Fresh,71,21,Upright,79.0,4,15,6
5169,Remember,Canada,637555.0,Drama,2015,Christopher Plummer,94,7.4,R,Fresh,70,94,Upright,79.0,23,66,28
5310,Alice Through the Looking Glass,USA,77042381.0,Adventure,2016,Mia Wasikowska,113,6.2,PG,Rotten,29,249,Spilled,48.0,44,73,176
2305,The Little Vampire,Germany,13555988.0,Adventure,2000,Jonathan Lipnicki,95,5.7,PG,Rotten,55,66,Spilled,55.0,23,36,30
4441,Chalet Girl,UK,1201.0,Comedy,2011,Felicity Jones,100,6.3,R,Certified Fresh,77,43,Spilled,53.0,11,33,10
4481,The Dark Knight Rises,UK,448139099.0,Action,2012,Christian Bale,164,8.4,PG-13,Certified Fresh,87,360,Upright,90.0,60,313,47
4343,Abduction,USA,28087155.0,Action,2011,Taylor Lautner,106,5.1,PG-13,Rotten,5,107,Spilled,42.0,24,5,102
4809,Fruitvale Station,USA,16097842.0,Biography,2013,Michael B. Jordan,85,7.5,R,Certified Fresh,94,205,Upright,87.0,57,193,12
2861,Radio,USA,52277485.0,Biography,2003,Cuba Gooding Jr.,109,6.9,PG,Rotten,36,121,Upright,79.0,36,43,78
4212,Hereafter,USA,32746941.0,Drama,2010,Matt Damon,129,6.5,PG-13,Rotten,47,232,Spilled,38.0,47,108,124
4049,Chéri,UK,2708188.0,Comedy,2009,Michelle Pfeiffer,100,6.2,R,Rotten,50,137,Spilled,40.0,44,69,68
1491,Kama Sutra: A Tale of Love,USA,4109095.0,Crime,1996,Naveen Andrews,117,6.0,R,Rotten,40,20,Upright,71.0,6,8,12
4048,Did You Hear About the Morgans?,USA,29580087.0,Comedy,2009,Hugh Grant,100,4.8,PG-13,Rotten,12,120,Spilled,27.0,36,14,106
4503,The Hunt,Denmark,687185.0,Drama,2012,Mads Mikkelsen,115,8.3,NR,Fresh,80,5,Unknown,60.47082875625534,0,4,1
4960,Paddington,UK,76223578.0,Animation,2014,Hugh Bonneville,95,7.2,PG,Certified Fresh,97,155,Upright,80.0,44,151,4
2742,Roger Dodger,USA,1266828.0,Comedy,2002,Campbell Scott,106,7.0,R,Certified Fresh,88,123,Upright,76.0,34,108,15
4730,The Lone Ranger,USA,89302115.0,Action,2013,Johnny Depp,150,6.5,PG-13,Rotten,31,242,Spilled,51.0,48,75,167
