id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
271,Benji the Hunted,USA,22257624.0,Adventure,1987,Red Steagall,88,G,Rotten,56,9,10288.0,0,5,4
272,Beyond Therapy,USA,790000.0,Comedy,1987,Julie Hagerty,93,R,Rotten,25,8,1218.0,3,2,6
273,Beetlejuice,USA,73707461.0,Comedy,1988,Alec Baldwin,92,PG,Certified Fresh,84,56,916690.0,16,47,9
274,Coming to America,USA,128152300.0,Comedy,1988,Eddie Murphy,116,R,Fresh,67,42,267854.0,8,28,14
275,Child's Play,USA,33244684.0,Horror,1988,Catherine Hicks,87,R,Fresh,68,37,267373.0,6,25,12
276,Child's Play,USA,33244684.0,Horror,1988,Catherine Hicks,87,R,Fresh,63,192,5792.0,24,121,71
277,Die Hard,USA,83008852.0,Action,1988,Bruce Willis,131,R,Certified Fresh,93,76,573311.0,16,71,5
278,Willow,USA,57269863.0,Action,1988,Val Kilmer,126,PG,Rotten,50,52,240751.0,12,26,26
279,Heathers,USA,1108462.0,Comedy,1988,Winona Ryder,103,R,Certified Fresh,93,55,75282.0,12,51,4
280,Rain Man,USA,172825435.0,Drama,1988,Dustin Hoffman,133,R,Certified Fresh,90,77,313931.0,16,69,8
281,They Live,USA,13008928.0,Action,1988,Roddy Piper,94,R,Certified Fresh,86,63,38986.0,10,54,9
282,Who Framed Roger Rabbit,USA,156452370.0,Animation,1988,Bob Hoskins,104,PG,Certified Fresh,97,64,442549.0,16,62,2
283,Akira,Japan,553171.0,Animation,1988,Nozomu Sasaki,124,R,Certified Fresh,89,47,148280.0,11,42,5
284,Big,USA,114968774.0,Comedy,1988,Tom Hanks,104,PG,Certified Fresh,97,74,401831.0,15,72,2
285,Cocktail,USA,78222753.0,Comedy,1988,Tom Cruise,104,R,Rotten,5,43,106998.0,12,2,41
286,Cocktail,USA,78222753.0,Comedy,1988,Tom Cruise,104,NR,Fresh,60,5,3383.0,1,3,2
287,Cocktail,UK,1027121.0,Comedy,2012,Saif Ali Khan,146,R,Rotten,5,43,106998.0,12,2,41
288,Cocktail,UK,1027121.0,Comedy,2012,Saif Ali Khan,146,NR,Fresh,60,5,3383.0,1,3,2
289,The Blob,USA,8247943.0,Horror,1988,Shawnee Smith,95,PG,Fresh,66,32,31625.0,3,21,11
290,The Blob,USA,8247943.0,Horror,1988,Shawnee Smith,95,R,Fresh,60,25,22402.0,0,15,10
291,Pumpkinhead,USA,4385516.0,Fantasy,1988,Lance Henriksen,86,R,Fresh,68,22,19210.0,2,15,7
292,A Fish Called Wanda,UK,63493712.0,Comedy,1988,John Cleese,108,R,Certified Fresh,94,62,181121.0,13,58,4
