id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
4189,Jonah Hex,USA,10539414.0,Action,2010,Josh Brolin,81,PG-13,Rotten,12,150,170670.0,35,18,132
656,Taking Care of Business,USA,20005435.0,Comedy,1990,Jim Belushi,108,R,Rotten,29,14,6295.0,7,4,10
826,Impromptu,UK,4076211.0,Biography,1991,Judy Davis,107,PG-13,Fresh,76,17,4863.0,7,13,4
3031,The Libertine,UK,4835065.0,Drama,2004,Johnny Depp,114,R,Rotten,33,122,70893.0,37,40,82
1079,Stalingrad,Germany,77848.0,Drama,1993,Dominique Horwitz,134,R,Rotten,50,74,6832.0,28,37,37
762,Rush,USA,7241350.0,Action,1991,Jason Patric,120,R,Fresh,71,28,8365.0,10,20,8
5227,Batman v Superman: Dawn of Justice,USA,330360194.0,Action,2016,Ben Affleck,151,PG-13,Rotten,28,412,233695.0,60,116,296
3586,Before the Devil Knows You're Dead,USA,7083025.0,Crime,2007,Philip Seymour Hoffman,117,R,Certified Fresh,88,174,86504.0,45,153,21
1621,The Chamber,USA,14551359.0,Crime,1996,Chris O'Donnell,113,NR,Rotten,36,14,62.0,3,5,9
899,Hoffa,USA,24276500.0,Biography,1992,Jack Nicholson,140,R,Rotten,52,25,9642.0,4,13,12
1021,Demolition Man,USA,58055768.0,Action,1993,Sylvester Stallone,115,R,Fresh,62,39,270361.0,11,24,15
4234,MacGruber,USA,8460995.0,Action,2010,Will Forte,90,R,Rotten,48,151,120127.0,29,73,78
42,Running Scared,Germany,6855137.0,Action,2006,Paul Walker,122,R,Fresh,60,20,8358.0,6,12,8
4525,Total Recall,USA,58877969.0,Action,2012,Colin Farrell,118,PG-13,Rotten,31,233,116717.0,47,72,161
5353,Buster's Mal Heart,USA,72622.0,Drama,2016,Rami Malek,96,NR,Fresh,72,47,1993.0,15,34,13
4737,Insidious: Chapter 2,USA,83586447.0,Horror,2013,Patrick Wilson,106,PG-13,Rotten,39,123,91722.0,30,48,75
1149,Lost in Yonkers,USA,9285189.0,Comedy,1993,Richard Dreyfuss,114,PG,Fresh,71,17,2517.0,3,12,5
1779,A Simple Wish,USA,8119205.0,Comedy,1997,Martin Short,89,PG,Rotten,25,16,55273.0,3,4,12
1522,Emma,UK,22201883.0,Comedy,1996,Gwyneth Paltrow,120,PG,Certified Fresh,84,50,61185.0,15,42,8
2523,Town & Country,USA,6719973.0,Comedy,2001,Warren Beatty,104,R,Rotten,13,93,2684.0,27,12,81
2330,The Weight of Water,USA,102622.0,Crime,2000,Catherine McCormack,100,R,Rotten,35,65,4523.0,25,23,42
742,Toy Soldiers,USA,15073942.0,Action,1991,Sean Astin,111,R,Rotten,36,14,39412.0,3,5,9
4766,Snitch,USA,42930462.0,Action,2013,Dwayne Johnson,112,PG-13,Rotten,57,145,63481.0,34,82,63
4632,The Bay,USA,30474.0,Horror,2012,Will Rogers,84,R,Certified Fresh,76,80,10168.0,27,61,19
987,Blame It on the Bellboy,UK,3104545.0,Comedy,1992,Bronson Pinchot,78,PG-13,Rotten,19,16,3197.0,5,3,13
3865,Waltz with Bashir,Israel,2283276.0,Animation,2008,Ari Folman,90,R,Certified Fresh,96,149,43951.0,45,143,6
343,The Serpent and the Rainbow,USA,19595031.0,Fantasy,1988,Bill Pullman,98,R,Fresh,64,33,15383.0,7,21,12
127,Just Between Friends,USA,6408791.0,Drama,1986,Mary Tyler Moore,110,PG-13,Rotten,33,6,1838.0,1,2,4
479,Three Fugitives,USA,40590000.0,Action,1989,Nick Nolte,96,PG-13,Rotten,14,14,8395.0,0,2,12
4690,World War Z,USA,202359711.0,Action,2013,Brad Pitt,116,PG-13,Fresh,66,272,304887.0,55,180,92
553,Flatliners,USA,61490000.0,Drama,1990,Kiefer Sutherland,115,PG-13,Rotten,4,76,11685.0,15,3,73
367,Biloxi Blues,USA,43184798.0,Comedy,1988,Matthew Broderick,106,PG-13,Fresh,81,26,10018.0,7,21,5
3920,Angels & Demons,USA,133375846.0,Mystery,2009,Tom Hanks,138,PG-13,Rotten,36,258,531659.0,55,94,164
1924,Dangerous Beauty,USA,4530929.0,Biography,1998,Catherine McCormack,111,R,Fresh,68,28,9248.0,8,19,9
454,Lean on Me,USA,31906454.0,Drama,1989,Morgan Freeman,108,PG-13,Fresh,69,16,41433.0,2,11,5
2645,About Schmidt,USA,65016287.0,Comedy,2002,Jack Nicholson,125,R,Certified Fresh,85,203,90655.0,44,173,30
921,Lorenzo's Oil,USA,7286388.0,Drama,1992,Nick Nolte,129,PG-13,Fresh,92,38,15245.0,10,35,3
2866,Chasing Papi,USA,6126237.0,Comedy,2003,Eduardo Verástegui,80,PG,Rotten,14,49,7095.0,22,7,42
289,The Blob,USA,8247943.0,Horror,1988,Shawnee Smith,95,PG,Fresh,66,32,31625.0,3,21,11
